type,name,label::English,label::Dari,label::Pashto,hint::English,hint::Dari,hint::Pashto,required,relevant,choice_filter,appearance,constraint,constraint_message::English,constraint_message::Dari,constraint_message::Pashto,repeat_count,calculation,media::image
select_one shelter_list,shelter,What type of shelter does the household currently live in? Please ensure the response is realistic,"??????? ??? ???? ?? ?? ??? ?????? ????? ?? ????
?????? ???? ?? ???? ???? ????? ????? ???",?? ??? ??? ????? ?? ????? ??? ???? ???? ??????? ???? ??? ?????? ??? ?? ???? ?????? ??,Please ensure the response is realistic,???? ???? ????? ????? ?? ???? ????? ????,???? ?? ??? ?????? ??? ?? ???? ?????? ??. ,TRUE,,,,,,,,,,
integer,rooms,"How many rooms are available in your house, in which household members live?","?? ???? ?? ?? ????? ??? ????? ?? ??? , ??? ???? ????? ????",????? ???? ????? ?? ??? ?? ???? ???? ?? ??? ?? ?? ? ????? ??? ???? ????,,,,TRUE,"not(selected(${shelter}, ""open_space""))",,,. >= 1 and . <= 20,Must be at least 1 and not greater than 20.,???? ????? 1 ? ?????? ?? 20 ?????,???? ?? ?? ??? ? ?? ?? ?? ?? ?? ??? ?? ??. ,,,
select_multiple shelter_damage_list,shelter_damage,Has the household's shelter been damaged in the last six months due to the following?,??? ?????? ??? ?? ?? ??? ????? ?? ??? ??? ??? ????? ??? ???? (????? ???? ??? ?????),??? ?? ???? ???? ?????? ?? ? ????? ????? ? ????? ?????? ?? ???? ??????? ???? [?? ?? ??????? ??????? ??],,,,TRUE,"not(selected(${major_events}, ""none""))",,,"not(selected(., ""no"") and count-selected(.) > 1)","Cannot select ""None of the above"" and other options.","????? "" ??? ???? ?? ????? ??? "" ? ???? ????? ?? ?? ?????? ???? ????????? ","???? ??? ????? ?? ""??? ?? ? ????? ??? ???? ??? "" ?? (???) ?????? ???.",,,
select_one shelter_damage_extent_list,shelter_damage_extent,What was the extent of the damage?,"??? ??? , ????? ?? ?? ?????? ????",?? ??? ?? ???? ?????? ?????? ????,,,,TRUE,"not(selected(${shelter_damage}, ""no"")) and not(selected(${major_events},""none""))",,,,,,,,,
select_one yn_list,shelter_damage_repair,Have you been able to make repairs to your shelter?,??? ???? ?? ????? ?????? ??? ??????,??? ???? ???????? ?? ?? ???? ?????? ?????.,,,,TRUE,"not(selected(${shelter_damage}, ""no"")) and not(selected(${major_events},""none""))",,,,,,,,,
select_one no_repair_cause_list,no_repair_cause,Why were you unable to make these repairs?,"??? ?? , ??? ???? ?? ????? ???????",?? ??? ??? ??? ???????? ?? ???? ?????? ??????,,,,TRUE,"selected(${shelter_damage_repair}, ""no"")",,,,,,,,,
select_one yn_list,shelter_hosted,Are you hosted by non-displaced members that are from this area and previously owned/rented this shelter? ,??? ????? ???? ??? ????? ??? ???? ???? ??? ??????? ??? ???? (??? ???? ??????? ??? ???? ???),??? ???? ?? ???? ???? ???? ??? ?? ??? ????? ??? ?? ? ???? ????? ?? ?? ?? ?? ??? ?? ????? ????? ???,,,,TRUE,"${displacement_status} = ""idp"" or (${displacement_status} = ""cross_border_returnees"" and selected(${area_origin}, ""no"")) or ${displacement_status} = ""refugees""",,,,,,,,,
select_one shelter_hosted_why_list,shelter_hosted_why,What kind of shelter support do support do the displaced household members require while being hosted?,"????? ??????? ????? ????? ?? ?? ??? 
??? ?????? ?????????? ?? ?????? ???? ??????? ??? ???? ??????? ??????
",?????? ??? ????? ??? ??? ??? ? ?????? ? ????? ?? ????? ???? ????? ??? ?? ?? ??? ?? ???? ???? ??? ??????,,,,TRUE,"selected(${shelter_hosted}, ""yes"")",,,,,,,,,
select_one tenancy_list,tenancy,What type of tenancy agreement do you have in your current shelter?,?? ??? ????? ? ?? ????? ???? ????? ???? ?? ?????? ???? ??? ??????,?? ??? ????? ?????? ?? ? ????? ??? ??? ??????? ????,,,,TRUE,"not(selected(${shelter_hosted}, ""yes""))",,,,,,,,,
integer,blankets_number,How many blankets does your household currently own? ,????? ??? ???? ??? ???? ?????,??? ????? ????? ????? ????? ????? ????,,,,TRUE,,,,. >= 0 and . <= 30,Cannot be negative or greater than 30.,???? ?? ?????? ?? 30 ???? ????????,???? ?? ??? (?) ?? ?? ?? ?? ?? ??? ??? ??????. ,,,
select_one energy_source_list,energy_source,What is the main source of energy that the household used for heating in the last winter?,???? ???? ????? ?? ????? ??? ???? ??? ???? ?? ?????? ????? ??????? ?? ????? ?? ????,? ????? ???? ?????? ???? ?? ?? ????? ?? ??? ??? ?? ? ??????? ????? ????? ??? ???????,,,,TRUE,,,,,,,,,,
begin group,h1,Daily NFI access,?????? ?????? ?? ???? ??? ?????,??? ?????? ???? ?? ????? ??????,,,,,,,field-list,,,,,,,
note,nfi_access_note,Does your household have daily access or own the following items?,??? ??????? ??? ?????? ?????? ?? ????? ??? ????? ,??? ????? ????? ?? ????? ??? ?????? ?? ?? ????? ???? ????,,,,,,,,,,,,,,
select_one yn_list,sleeping_mats,Sleeping mats or mattress (basic needs),???? ????,? ??? ????? (?????? ???????),,,,TRUE,,,minimal,,,,,,,
select_one yn_list,tarpaulin,Plastic tarpaulin (basic needs),????? ????????,???????? ????? (?????? ???????),,,,TRUE,,,minimal,,,,,,,
select_one yn_list,cooking_pots,Cooking pots of 5L or more (basic needs),??? ??? ? ?? 5 ????? ?? ????? ?? ??,? ???? 5 ????? ?? ?? ?? ??? ??? ??? (?????? ???????),,,,TRUE,,,minimal,,,,,,,
select_one yn_list,stainless_steel,Stainless steel cups (basic needs),????? ?????,???? ???? ( ?????? ???????),,,,TRUE,,,minimal,,,,,,,
select_one yn_list,water_storage,"Water storage containers (cans, buckets with lid, etc.) (basic needs)",????? ??( ??? ??? ??? ????? ???),? ???? ????? ( ????? ?????? ?? ????? ?? ???? ??? ???) (?????? ???????),,,,TRUE,,,minimal,,,,,,,
select_one yn_list,hygiene_sanitation,"Hygiene / sanitation items (soap, aquatabs) (basic needs)",????? ??????? ? ??? ?????(?????? ????? ??) (???????? ??? ?????),? ?????? ?????/ ? ?????? ???? ???? ( ?????? ? ???? ????) (?????? ???????),,,,TRUE,,,minimal,,,,,,,
end group,,,,,,,,,,,,,,,,,,
end group,,,,,,,,,,,,,,,,,,
begin group,I,Health,???,??????,,,,,"selected(${consent}, ""yes"")",,,,,,,,,
note,health_note,In the following questions we want to talk about your general access to health facilities. ,???: ?? ?????? ??? ?? ?? ???? ?????? ??? ?? ????? ??? ???? ?????? ???,??????: ?? ????? ??????? ?? ??? ????? ?? ???????? ??????? ?? ????? ? ????? ?????? ?? ??? ???? ????.,,,,,,,,,,,,,,
select_one yn_list,health_facility_affected,Have any health facilities used by members of your HH become dysfunctional in the past year?,??? ???? ???? ??? ?? ???? ????? ????? ??? ??? ????? ??????? ??? ???? ??? ???? ???????,???  ???? ???????? ??????? ?? ?? ??? ??? ?? ????? ? ????? ??? ????? ??? ?????? ??? ???? ??? ???,,,,TRUE,,,,,,,,,,
select_one health_facility_affected_how_list,health_facility_affected_how,How have the health facilities been affected?, ???? ??? ????? ??? ????? ???????,???????? ????????? ????? ??????? ????,,,,TRUE,"selected(${health_facility_affected}, ""yes"")",,,,,,,,,
select_one reopened_list,health_facility_reopened,"Did the health facilities remain damaged or closed, or have they since reopened?",??? ???? ??? ???? ?? ?????/ ???? ???? ?? ?????? ??? ??? ,??? ???????? ??????? ?????? ??? ?? ??? ???? ??  ??? ???????? ????,,,,TRUE,"selected(${health_facility_affected_how}, ""forcibly_closed"") or selected(${health_facility_affected_how}, ""damaged_conflict"") or selected(${health_facility_affected_how}, ""damaged_natural_disasters"")",,,,,,,,,
integer,diarrhea_cases,How many children under 5 have experienced acute watery diarrhea in the past 2 weeks?,??? ?? ?? ????? ??? 5 ??? ??????? ??? ?? ?? ???? ????? ????? ???? ?? ????? ???? ,?? ???? 2 ????? ?? ?? ??? ? 5 ???? ??? ?? ???? ??????? ???? ??????  ?? ????? ??? ?? ????,,,,TRUE,${diarrhea_total} > 0,,,. >= 0 and . <= ${diarrhea_total},"Cannot be negative or greater than the number of children aged 5 and under, ${diarrhea_total}.",???????? ???? ?? ?????? ?? ????? ????? ?? ?? ?? 5 ? ???? ?? ?? ???? ,? ???????? ????? ???? (???) ?? ?? ?? ??? ??? ?????? ?? ??? ?? ? ???? ?? ??? ??? ${diarrhea_total}. ,,,
select_one health_facility_distance_list,health_facility_distance,How far is the closest functioning comprehensive health center to your household?,????????? ???? ??? ???? ?? ???? ??? ???? ????? ?????,????? ????? ?? ?? ???? ???? ????? ???????? ???? ????? ????? ?? ???,,,,TRUE,,,,,,,,,,
select_one yn_list,health_facility_access,"In the past 3 months, have you had access to a comprehensive health center in your village or close to your village where you could receive healthcare services? ",?? ?? ??? ????? ??? ?? ???? ??? ???? ?? ?? ???? ??? ? ?? ????? ?? ???? ??? ??? ?????? ???????,?? ???? 3 ?????? ??? ??? ???? ?? ??? ??? ?? ?? ????? ??? ?? ???? ???????? ???? ?? ?? ?????? ?????? ????? ?? ???? ???????? ??????? ???? ?? ???? ???,,,,TRUE,"not(selected(${health_facility_distance}, ""none""))",,,,,,,,,
select_multiple health_facility_barriers_list,health_facility_barriers,What are the barriers for accessing health care for your household?,????? ?????? ?? ????? ??? ???? ????? ???? ????,????? ????? ???????? ????????? ? ????? ????? ???? ?????? ??? ?? ???,,,,TRUE,"selected(${health_facility_access}, ""no"") ",,,,,,,,,
select_one birth_location_list,birth_location,"If pregnant, where have/would women in the household likely give birth?",???? ????? ?????? ?? ??? ??????? ????? ????   ,?? ??? ????????? ??? ????? ????? ?? ????? ????? ?????,,,,TRUE,,,,,,,,,,
note,mortality_note,"We are now going to ask you about members of your household who no longer live with you or have died since the beginning of Ramadan, asking about each off these individuals that used to live in the household, if this is okay with you.",?? ??????? ???? ?? ?? ????? ??????? ??? ?? ??? ???? ?????? ?? ?? ???? ??? ????? ?????  ???? ?? ??? ????? ??????? ? ??  ??? ??? ?????. ??? ????? ??????,??? ???? ????? ????? ? ????? ? ??? ??? ?? ???? ?? ?????? ???? ??? ?? ? ?? ??? ? ???? ? ??? ??  ??? ?? ???? ??? ??? ?? ?? ?? ???? ??? ?? ,,,,,,,,,,,,,,
integer,members_left,Can you please tell me how many household members have left this household since the beginning of Ramadan this year (no longer currently living in this household)?,??? ???????? ????? ?? ?? ????? ?? ????? ??? ??????? ??  ???? ????? ?????? ??? ??????? ?? ??? ????? ??? (???? ???? ?? ??? ?????? ????? ???????),??? ???? ????? ?? ?? ????? ? ????? ???? ?? ??? ????? ? ???? ?? ??? ??? ???????? ??? ??? ????? ??? (??? ?? ?? ????? ?? ???? ?? ???).,,,,TRUE,,,,,,,,,,
note,members_left_note,"We now want to ask about each individual in the household who left, starting with the youngest and ending with the oldest.",???? ?? ?? ???? ?? ??? ??????? ??  ???? ?? ??? ????  ????? ??????? ?? ??? ???? ??????? ???? ???? ? ?? ??? ??????? ??? ????,???? ??? ????? ?? ????? ?? ? ?? ?? ?? ??? ?????? ???? ?? ??? ?? ???? ??? ?? ???????? ??? ?? ??? ?? ?? ???? ????? ?? ??? ?? ????.,,,,,not(${members_left} = 0),,,,,,,,,
begin repeat,i1,Household members that left,????? ??????? ?? ???? ?? ??? ?????,? ????? ??? ?? ???? ??,,,,,not(${members_left} = 0),,,,,,,${members_left},,
calculate,hh_member_left,,,,,,,,,,,,,,,,position(..),
select_one sex_list,hh_left_sex,Sex of household member who left #${hh_member_left}:,????? ???? ??????? ?? ???? ?? ??? ???? ???,? ????? ? ??? ??? ?? ??? ?? ???? ????? ?? ?? ?? ???,Household member #1 should always be the head of household,?? ???? ??????? ???? ???? ????? ??? ??? ??? ????,? ????? ?????? ?? ???? ????? ? ????? ??? ??. ,TRUE,,,,,,,,,,
integer,hh_left_age,Age of household member who left #${hh_member_left}:,?? ???? ??????? ?? ???? ?? ??? ???? ???,? ????? ? ??? ??? ?? ??? ?? ???? ??? ?? ?? ???,"For children less than one year old (i.e. 6 months), put their age as 1",???? ????? ??? ?? ??? ( ???? ???? 6 ???) ?? ??? ?? ?? ??? ??? ????,? ??? ???????? ????? ?? ??? ?? ?? ?? ???? ??? ?? (????? ? ??????)? ? ???? ??? ?? ? ??? ?????. ,TRUE,,,,.>=0 and .<130,Household member cannot be age less than 0 or greater than 130,?? ????? ??????? ???? ?? 0 ? ???? ?? ?? 130 ???? ????????,? ????? ? ??? ??? ???? ?? ??? (?) ?? ?? ?? ??? ????? ?? ??. ,,,
select_one yn_list,hh_left_joined,Did this person join the household after the beginning of Ramadan this year?,??? ??? ??? ??? ?? ???? ????? ????? ?? ??? ??????? ????? ??? ????,??? ??? ?? ????? ???? ? ??? ??? ?????? ????? ??? ?? ??? ???,,,,TRUE,,,,,,,,,,
select_one yn_list,hh_left_born,Was this person born on or after the beginning of Ramadan this year?,??? ??? ??? ?? ??? ????? ????? ?? ??? ?? ??? ????? ????? ????? ???? ????,??? ??? ?? ?? ???  ?? ???? ?? ?? ?? ?? ? ???? ?? ??? ??? ?????? ???? ????,,,,TRUE,${hh_left_age} = 0,,,,,,,,,
end repeat,,,,,,,,,,,,,,,,,,
integer,members_died,Can you please tell me how many household members that have died since the beginning of Ramadan this year?,??? ???? ???????? ?? ?? ????? ?? ????? ??????? ??? ?? ???? ????? ????? ???? ????? ????,??? ???? ????? ?? ?? ????? ? ?????  ?? ??? ????? ? ???? ?? ??? ??? ????? ??? ???? ??? ??? (??? ?? ?? ????? ?? ???? ?? ???).,,,,TRUE,,,,,,,,,,
note,members_died_note,"We now want to ask about each individual in the household who died, starting with the youngest and ending with the oldest.",???? ?? ???????? ?? ?? ???? ?? ??? ??????? ?? ??? ???? ????? ????? ?? ??? ???? ??????? ???? ???? ? ?? ??? ??????? ??? ?????,???? ??? ????? ?? ????? ?? ? ?? ??? ?? ??? ?????? ???? ?? ??? ???? ?? ???????? ??? ?? ??? ?? ?? ???? ????? ?? ??? ?? ????..,,,,,${members_died},,,,,,,,,
begin repeat,i2,Household members that died,????? ??????? ?? ??? ?????,? ????? ??? ?? ??? ??? ??,,,,,${members_died},,,,,,,${members_died},,
calculate,hh_member_died,,,,,,,,,,,,,,,,position(..),
select_one sex_list,hh_died_sex,Sex of household member who died #${hh_member_died}:,????? ???? ??????? ?? ???? ????? ???,? ????? ? ??? ??? ?? ???? ??? ????? ?? ?? ?? ???,Household member #1 should always be the head of household,?? ???? ??????? ???? ???? ????? ??? ??? ??? ????,? ????? ?????? ?? ???? ????? ? ????? ??? ??. ,TRUE,,,,,,,,,,
integer,hh_died_age,Age of household member who died #${hh_member_died}:,?? ???? ??????? ?? ???? ????? ???,? ????? ? ??? ??? ?? ???? ??? ??? ?? ?? ???,"For children less than one year old (i.e. 6 months), put their age as 1",???? ????? ??? ?? ??? ( ???? ???? 6 ???) ?? ??? ?? ?? ??? ??? ????,? ??? ???????? ????? ?? ??? ?? ?? ?? ???? ??? ?? (????? ? ??????)? ? ???? ??? ?? ? ??? ?????. ,TRUE,,,,.>=0 and .<130,Household member cannot be age less than 0 or greater than 130,?? ????? ??????? ???? ?? 0 ? ???? ?? ?? 130 ???? ????????,? ????? ? ??? ??? ???? ?? ??? (?) ?? ?? ?? ??? ????? ?? ??. ,,,
select_one yn_list,hh_died_joined,Did this person join the household after the beginning of Ramadan this year?,??? ??? ??? ??? ?? ???? ????? ????? ?? ??? ??????? ????? ??? ????,??? ??? ????? ????? ???? ? ??? ??? ?????? ????? ??? ?? ??? ???,,,,TRUE,,,,,,,,,,
select_one yn_list,hh_died_born,Was this person born on or after the beginning of Ramadan this year?,??? ??? ??? ?? ??? ????? ????? ?? ??? ?? ??? ????? ????? ????? ???? ????,??? ??? ????? ?? ???  ?? ???? ?? ?? ?? ?? ? ???? ?? ??? ??? ?????? ???? ????,,,,TRUE,${hh_died_age} = 0,,,,,,,,,
select_one cause_death_list,cause_death,What was the cause of death?,???? ???? ?? ?? ????,? ????? ??? ?? ?? ??,,,,TRUE,,,,,,,,,,
end repeat,,,,,,,,,,,,,,,,,,
end group,,,,,,,,,,,,,,,,,,
begin group,J,WASH,??? ????? ,? ???? ?????? ????? ?? ??? ?????,,,,,"selected(${consent}, ""yes"")",,,,,,,,,
note,wash_note,"Almost done, in the following we would like to talk about access to water, latrines, and trash sites.",???: ?? ???? ??? ??? ?? ?? ???? ?????? ?? ??? ?????? ? ??? ????? ???? ?????? ???,??????: ?????? ????? ???? ?? ????? ??? ??? ????? ?? ? ????? ???????? ?? ???? ?????? ?? ? ?????? ?? ??? ???? ????.,,,,,,,,,,,,,,
select_one water_source_list,water_source,What has been your household's primary source of drinking water over the past 7 days?,???? ???? ?? ??????? 7 ??? ????? ?? ??????? ??? ??????? ????? ???? ? ,?? ???? 7 ???? ?? ????? ? ????? ? ????  ???? ???? ?????? ?? ?? ???,,,,TRUE,,,,,,,,,,
select_one water_distance_list,water_distance,How far is your primary water source to you?,???? ???? ?? ?? ???? ??? ???? ??? ????,? ???? ???? ?????? ?? ???? ??? ????? ??? ???,,,,TRUE,,,,,,,,,,
select_one yn_list,water_damaged,"Have any water sources that your household used been damaged, destroyed, or dried up in the past 6 months and are still not functioning?",??? ???? ?? ???????? ?? ??????? ??? ?? ?? ??????? ???????? ???? ??? ????? ????? ? ?? ??? ??? ??  ?? ???? ???? ???? ????.  ,??? ? ???? ???? ?????? ?? ????? ????? ????? ??? ??????? ?? ???? 6 ?????? ?? ??????? ???? ?? ???? ???? ?? ??? ??? ?? ???? ?????? ??? ?? ????,,,,TRUE,,,,,,,,,,
select_one water_damaged_cause_list,water_damaged_cause,What was the cause of the damage or destruction?,???? ????? ??? ?? ?? ???? ,?? ??? ? ???? ?? ?? ???? ???? ???? ?? ?? ??,,,,TRUE,"selected(${water_damaged}, ""yes"")",,,,,,,,,
select_one water_sufficiency_list,water_sufficiency,"Overall, was your access to water over the past 7 days enough to meet or satisfy the basic needs of your household members? ",??? ?????? ?? ?? ???????? ???? ?? ??? ??? ?????  ???? ????? ??????? ??? ????? ??? ???? ,?? ???? ??? ??  ???? 7 ???? ?? ???? ?? ???? ?????? ???? ?? ?????? ????? ?? ????? ? ????? ???? ??????? ?? ???? ??? ???,Read the options out loud to the respondent.,????? ?? ?? ???? ???? ????? ???? ???????,? ????????? ??? ???? ???????? ?? ?????. ,TRUE,,,,,,,,,,
select_multiple water_barriers_list,water_barriers,What are the main reasons you are not able to meet your water needs?,??? ???? ?? ??? ?? ?? ???? ???????? ?????? ?????? ?????,? ??? ???? ???? ?????? ?? ???? ???? ????? ??????? ??? ???? ?????? (?? ?????: ????? ???? ???? ???? ???? ???),Maximum 3 selected,?????? 3 ??????,?? ? ???? ?????? ????? ??. ,TRUE,"selected(${water_sufficiency}, ""insufficient"") or selected(${water_sufficiency}, ""barely_sufficient"")",,,count-selected(.) <= 3,Cannot select more than 3 options.,????? ?? 3 ????? ?????? ???? ?????????,???? ??? ????? ?? ? ????? ??????? ?????? ???. ,,,
select_one soap_list,soap,"Do you have any soap in your household? (if yes, could you show it?)",??? ?? ???? ??? ????? ????? (??? ??? ???? ?? ?????? ),??? ???? ?? ??? ?? ??? ???? ???? (?? ??? ??? ???? ????? ?? ??? ????? ??????),,,,TRUE,,,,,,,,,,
select_one latrines_list,latrine,What type of latrines has been most commonly used by the household members in the last 7 days?,???? ????? ?? 7 ??? ????? ??????? ??? ?? ?? ??? ????? ??????? ?????,?? ???? 7 ???? ?? ? ????? ??? ???? ? ??? ???  ???????? ??? ??????? ????,,,,TRUE,,,,,,,,,,
integer,latrine_sharing,"If a community/public latrine, how many households share usage of this latrine?",??? ????? ????? ???? ?? ??? ??????? ?? ?? ??????? ??????,?? ??  ????? ?? ????? ????? ??? ?? ????? ? ?? ????? ??? ??? ?????,,,,TRUE,"selected(${latrine}, ""public_latrine"")",,,. >= 1 and . <= 1000,"Must be between 1 and 1,000 households.",???? ??? 1 ? 1000 ??????? ????,???? ?????? ? ? ?? ???? ?? ??? ??. ,,,
select_one waste_disposal_list,waste_disposal,What is the main method of waste disposal for your household?,??? ???? ?? ??? ???? ?????? ?? ??????? ??? ????? ,?????  ????? ??? ???? ????? ? ???? ????? ????? ??????,,,,TRUE,,,,,,,,,,
end group,,,,,,,,,,,,,,,,,,
begin group,K,Protection,?????,?????,,,,,"selected(${consent}, ""yes"")",,,,,,,,,
note,protection_note,"Last section! In the following questions we would talk about security, safety, and wellbeing concerns. After this we will have finished.",???: ?? ?????? ??? ?? ?? ???? ?????? ??????? ? ?????? ??? ??? ???? ?????? ???.? ??? ?????? ?? ?? ????? ????? ????.,?????? ????! ?? ????? ??????? ?? ?? ???? ? ?????? ????????? ?? ???????? ??????? ?? ??? ???? ????. ?? ?? ?????? ?? ???? ??? ?? ??????.,,,,,,,,,,,,,,
select_one safety_list,safety,How would you rate the safety and security of your household in your current location?,?????? ? ????? ??????? ????? ?? ?????? ???? ???? ??????? ???????,???? ?? ??? ????? ??? ?? ???? ? ???? ????? ?????? ?? ????? ???? ??????,Read the options out loud to the respondent.,????? ?? ?? ???? ???? ????? ???? ???????,? ????????? ??? ???? ???????? ?? ?????. ,TRUE,,,,,,,,,,
select_multiple prot_incident_list,adult_prot_incidents,Were any adults (18 years or older) in your household subject to any of the following protection incidents in the past 3 months?,??? ???? ??? ????(?? ?? ?????? ?? ??) ?? ???? ??? ?????? ??? ?? ??? ?????? ????? ?? ?????? ?? ?? ??? ???? ????? ??? ????   ,??? ????? ?? ??? ?? ??? ????? ?? ??? ?? (?? 18 ???? ?? ???  ??) ?? ???? 3 ?????? ?? ? ????? ???????? ???? ??? ?? ??? ???,Read the options out loud to the respondent.,????? ?? ?? ???? ???? ????? ???? ???????,? ????????? ??? ???? ???????? ?? ?????. ,TRUE,,,,"not(selected(., ""none"") and count-selected(.) > 1)","Cannot select ""None of the above"" and other options.","????? "" ??? ???? ?? ????? ??? "" ? ???? ????? ?? ?? ?????? ???? ????????? ","???? ??? ????? ?? ""??? ?? ? ????? ??? ???? ??? "" ?? (???) ?????? ???.",,,
select_multiple prot_incident_list,child_prot_incidents,Were any children (under 18 years) in your household subject to any of the following protection incidents in the past 3 months?,??? ???? ??? (???? ?? ?? ???) ?? ???? ??? ?? ???? ????? ??? ????? ?? ?????? ?? ?? ??? ???? ???? ? ??? ??? ???? ???? ??????,??? ????? ?? ??? ?? ??? ??????? ?? ??? ?? (18 ???? ??? ??  ??) ?? ???? 3 ?????? ?? ? ????? ???????? ???? ??? ?? ??? ???,Read the options out loud to the respondent.,????? ?? ?? ???? ???? ????? ???? ???????,? ????????? ??? ???? ???????? ?? ?????. ,TRUE,,,,"not(selected(., ""none"") and count-selected(.) > 1)","Cannot select ""None of the above"" and other options.","????? "" ??? ???? ?? ????? ??? "" ? ???? ????? ?? ?? ?????? ???? ????????? ","???? ??? ????? ?? ""??? ?? ? ????? ??? ???? ??? "" ?? (???) ?????? ???.",,,
select_multiple other_incidents_list,other_incidents,Were there any other security or safety incidents in the past 3 months you want to mention?,??? ???? ????? ???? ?? ?????? ?????? ? ?? ?????? ?? ?? ??? ????? ???? ???? ?? ??? ???????? ???? ???  ???????,??? ???? ???? ???? ?????? ?? ? ???????? ???? ???  ?? ???? ?? ?? ??????,,,,TRUE,,,,"not(selected(., ""no"") and count-selected(.) > 1)","Cannot select ""No"" and other options.","????? "" ????"" ? ???? ????? ?? ?? ?????? ???? ?????????","???? ??? ????? ?? "" ??"" ?? ?? (???) ?????? ???.",,,
select_one yn_list,adult_injuries,Have any adult members of your household (18 years or older) been severely injured in the last 3 months?,??? ????  ??? ???? (?? ?? ?????? ??) ?? ????? ????? ???  ?? ?? ??? ???? ?? ??? ???? ???? ??? ????,??? ????? ? ????? ??? ??? ???  ?? ??? ?? ?? (18 ???? ?? ???? ??) ?? ???? 3 ?????? ?? ??? ??? ??? ???,,,,TRUE,${adult_18_plus_total} > 0,,,,,,,,,
select_one injuries_cause_list,adult_injuries_cause,What was the cause of this most severe injury to an adult member?,??? ????? ?? ???? ????,? ?? ?? ???? ?? ??,,,,TRUE,"selected(${adult_injuries}, ""yes"")",,,,,,,,,
select_one yn_list,child_injuries,Have any child members of your household (under 18 years) been severely injured in the last 3 months?,??? ????  ??? ?? ????? ??????? ??? (???? ?? 18 ???)  ?? ?? ??? ???? ?? ??? ???? ???? ??? ????,??? ????? ? ????? ??? ????? ??? ?? ??? ?? (? 18 ????? ??? ?? ?? ) ?? ???? 3 ?????? ?? ??? ??? ??? ???,,,,TRUE,${under_18_total} > 0,,,,,,,,,
select_one injuries_cause_list,child_injuries_cause,What was the cause of this most severe injury to a child member?,??? ????? ?? ???? ????,?  ??? ???? ??? ?? ?? ??,,,,TRUE,"selected(${child_injuries}, ""yes"")",,,,,,,,,
integer,adult_tazkira,How many adult (18 years or older) household members own a Tazkira?,?? ????? ?? ?????? (?????? ?? 18 ???) ??????? ??? ????? ????,????? ? ????? ????? ????? ??? ?? ??? ?? (18 ???? ?? ???? ??) ????? ????,,,,TRUE,${adult_18_plus_total} > 0,,,. >= 0 and . <= ${adult_18_plus_total},"Cannot be negative or greater than the total number of adults in the household, ${adult_18_plus_total}.",???? ?? ?????? ?? ????? ????? ????? ???? ?? ??????? ?? ????? ?? 10 ??? ???? ???????? ,?? ????? ?? ? ??? ??????? ??? ????? ???? (???) ?? ??? ??? ??????? ${adult_18_plus_total}  ,,,
integer,child_tazkira,How many children (under 18 years) household members own a Tazkira?,?? ????? ??????? (???? ?? 18 ???) ??????? ??? ????? ????,????? ? ????? ????? ??????? ??? ?? ??? ?? (? 18 ???? ??? ??  ??)  ????? ????,,,,TRUE,${under_18_total} > 0,,,. >= 0 and . <= ${under_18_total},"Cannot be negative or greater than the total number of children in the household, ${under_18_total}.",???????? ???? ?? ?????? ?? ????? ????? ????? ?? ??????? ????,?? ????? ?? ? ???????? ????? ???? (???) ?? ??? ??? ?????? ${under_18_total}. ,,,
calculate,adult_lack_tazkira,,,,,,,,,,,,,,,,${adult_18_plus_total} - ${adult_tazkira},
calculate,child_lack_tazkira,,,,,,,,,,,,,,,,${under_18_total} - ${child_tazkira},
select_one lack_tazkira_reason_list,lack_tazkira_reason,What is the primary reason HH members do not have a Tazkira?,???? ???? ???? ?????? ????? ?????? ??????? ??? ?? ????,? ????? ???? ????? ?? ???? ???? ??? ?? ?? ???,,,,TRUE,${adult_lack_tazkira} > 0 or ${child_lack_tazkira} > 0,,,,,,,,,
select_one explosive_presence_list,displ_explosive_presence,"In the past year, was your household aware of the presence of any explosive hazards (mines, ERWs, PPIEDs) in or closely around your current or most recent previous location?",?? ??? ????? ??? ??????? ??? ?? ??????? ???? ?????? (???? ??? ?????? ????? ? ???? ???? ???????) ?? ???? ???? ?? ???? ? ?? ???? ??? ????? ??????? (??? ?? ??????? ??? ???? ???) ,?? ?????? ??? ??? ????? ????? ? ????? ?? ?????? ??? ??? ???? ?? ?????? ?? ? ?????????? ??????? ??????? ?? ???? ???? ???? ?? ??? ?? ??? ?????? ],,,,TRUE,"${displacement_status} = ""idp"" or (${displacement_status} = ""cross_border_returnees"" and selected(${area_origin}, ""no"")) or ${displacement_status} = ""refugees""",,,,,,,,,
select_one yn_list,nondispl_explosive_presence,"In the past year, was your household aware of the presence of any explosive hazards (mines, ERWs, PPIEDs) in or closely around your community?",?? ??? ????? ??? ??????? ??? ?? ??????? ???? ?????? (???? ??? ?????? ????? ? ???? ???? ???????) ??????? ??? ?? ??????? ?? ????? ??? ????? ??????? (??? ?? ??????? ??? ??????),?? ?????? ??? ??? ????? ????? ?? ???? ????? ?? ? ?????????? ??????? ??????? ?? ???? ???? ???? ?? ??? ??? ????? ? ,,,,TRUE,"not(${displacement_status} = ""idp"" or (${displacement_status} = ""cross_border_returnees"" and selected(${area_origin}, ""no"")) or ${displacement_status} = ""refugees"")",,,,,,,,,
